[diff] layers=30 first_kv_shared_idx=30
[diff] 2 rows, prompt len=327
[diff] tok0 serial=[28487, 236777] batched=[28487, 236777] match=True
[diff] layer-0 INPUT (embedding) max|Δ| per row = [0.0, 0.0]  (non-zero row>0 => embed/per-layer-input bug; zero => attention bug)
[diff] layer | type | in max|Δ| | out max|Δ|  (per row)
[diff]  0 | sliding_attention  | in=[0.0, 0.0] | out=[0.0, 7.312]  <-- FIRST OUT DIVERGENCE
[diff]  1 | sliding_attention  | in=[0.0, 7.312] | out=[0.141, 10.25]
[diff]  2 | sliding_attention  | in=[0.141, 10.25] | out=[0.25, 15.75]
[diff]  3 | sliding_attention  | in=[0.25, 15.75] | out=[0.375, 10.5]
[diff]  4 | sliding_attention  | in=[0.375, 10.5] | out=[0.156, 13.25]
[diff]  5 | full_attention     | in=[0.156, 13.25] | out=[0.25, 13.875]
[diff]  6 | sliding_attention  | in=[0.25, 13.875] | out=[0.375, 11.125]
[diff]  7 | sliding_attention  | in=[0.375, 11.125] | out=[0.312, 14.375]
[diff]  8 | sliding_attention  | in=[0.312, 14.375] | out=[0.281, 19.25]
[diff]  9 | sliding_attention  | in=[0.281, 19.25] | out=[1.0, 31.875]
[diff] 10 | sliding_attention  | in=[1.0, 31.875] | out=[0.5, 28.75]
[diff] 11 | full_attention     | in=[0.5, 28.75] | out=[0.5, 22.875]
[diff] 12 | sliding_attention  | in=[0.5, 22.875] | out=[0.891, 20.0]
[diff] 13 | sliding_attention  | in=[0.891, 20.0] | out=[1.25, 19.5]
[diff] 14 | sliding_attention  | in=[1.25, 19.5] | out=[1.25, 20.0]
[diff] 15 | sliding_attention  | in=[1.25, 20.0] | out=[1.0, 32.0]
[diff] 16 | sliding_attention  | in=[1.0, 32.0] | out=[1.266, 13.75]
[diff] 17 | full_attention     | in=[1.266, 13.75] | out=[1.5, 12.125]
[diff] 18 | sliding_attention  | in=[1.5, 12.125] | out=[1.375, 14.25]
[diff] 19 | sliding_attention  | in=[1.375, 14.25] | out=[1.75, 13.25]
[diff] 20 | sliding_attention  | in=[1.75, 13.25] | out=[1.875, 10.812]
[diff] 21 | sliding_attention  | in=[1.875, 10.812] | out=[1.125, 10.5]
[diff] 22 | sliding_attention  | in=[1.125, 10.5] | out=[1.0, 8.125]
[diff] 23 | full_attention     | in=[1.0, 8.125] | out=[0.547, 11.125]
[diff] 24 | sliding_attention  | in=[0.547, 11.125] | out=[0.406, 10.5]
[diff] 25 | sliding_attention  | in=[0.406, 10.5] | out=[0.5, 6.5]
[diff] 26 | sliding_attention  | in=[0.5, 6.5] | out=[0.656, 5.938]
[diff] 27 | sliding_attention  | in=[0.656, 5.938] | out=[0.438, 6.0]
[diff] 28 | sliding_attention  | in=[0.438, 6.0] | out=[0.25, 6.75]
[diff] 29 | full_attention     | in=[0.25, 6.75] | out=[0.453, 7.25]
[diff] FIRST DIVERGENT LAYER = 0 (type=sliding_attention, shared=False)
