bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
NVIDIA H200, 580.159.03, 143771 MiB, 9.0
[run_on_vast] reusing venv at /workspace/kakeya-r1c/.venv-vast
[run_on_vast] torch + transformers already importable; skipping install
[run_on_vast] torch=2.11.0+cu128 cuda_available=True cuda=12.8
[run_on_vast] device0=NVIDIA H200
[run_on_vast] transformers=4.57.6
[run_on_vast] launching toy: --model google/gemma-3-1b-it --cross-attn-depth 20 --sink 4 --window 64 --num-heads 16 --head-dim 128 --train-steps 2000 --o-proj-init-std 0.01 --lr 3e-4 --n-train 200 --n-eval 50 --eval-every 100 --haystack-min-tokens 256 --haystack-max-tokens 1024 --needle-debug-mode small --output results/research/cross_attn_toy_vast_needle_small_1780806644.json
[toy] loading google/gemma-3-1b-it
[toy] device=cuda
[toy] generating 200 train + 50 eval NIAH samples; needle vocab=small (20 distinct answers)
[toy] pre-train eval (full eval set, all 3 baselines)
[toy] pre-train: oracle=1.000  bounded_baseline=0.000  cross_attn=0.000
[toy] training 2000 steps
[toy] step=10  loss(avg10)=5.4544
[toy] step=20  loss(avg10)=1.8625
[toy] step=30  loss(avg10)=1.3788
[toy] step=40  loss(avg10)=1.5222
[toy] step=50  loss(avg10)=0.8768
[toy] step=60  loss(avg10)=1.0410
[toy] step=70  loss(avg10)=0.9399
[toy] step=80  loss(avg10)=1.1139
[toy] step=90  loss(avg10)=0.8553
[toy] step=100  loss(avg10)=0.8841
[toy] step=100  cross_attn=0.150  bounded_baseline=0.000
[toy] step=110  loss(avg10)=1.0057
[toy] step=120  loss(avg10)=0.8327
[toy] step=130  loss(avg10)=0.9354
[toy] step=140  loss(avg10)=0.7707
[toy] step=150  loss(avg10)=0.9591
[toy] step=160  loss(avg10)=0.7907
[toy] step=170  loss(avg10)=0.8496
[toy] step=180  loss(avg10)=0.8662
[toy] step=190  loss(avg10)=0.9127
[toy] step=200  loss(avg10)=0.8203
[toy] step=200  cross_attn=0.150  bounded_baseline=0.000
[toy] step=210  loss(avg10)=0.8103
[toy] step=220  loss(avg10)=0.9151
[toy] step=230  loss(avg10)=0.8219
[toy] step=240  loss(avg10)=0.8021
[toy] step=250  loss(avg10)=0.9229
[toy] step=260  loss(avg10)=0.8505
[toy] step=270  loss(avg10)=0.7715
[toy] step=280  loss(avg10)=0.8758
[toy] step=290  loss(avg10)=0.6610
[toy] step=300  loss(avg10)=0.9046
[toy] step=300  cross_attn=0.000  bounded_baseline=0.000
[toy] step=310  loss(avg10)=0.8174
[toy] step=320  loss(avg10)=0.8072
[toy] step=330  loss(avg10)=0.8036
[toy] step=340  loss(avg10)=0.8348
[toy] step=350  loss(avg10)=0.8153
[toy] step=360  loss(avg10)=0.8133
[toy] step=370  loss(avg10)=0.7915
[toy] step=380  loss(avg10)=0.7965
[toy] step=390  loss(avg10)=0.9037
[toy] step=400  loss(avg10)=0.7476
[toy] step=400  cross_attn=0.100  bounded_baseline=0.000
[toy] step=410  loss(avg10)=0.6618
[toy] step=420  loss(avg10)=0.8478
[toy] step=430  loss(avg10)=0.8461
[toy] step=440  loss(avg10)=0.7841
[toy] step=450  loss(avg10)=0.7911
[toy] step=460  loss(avg10)=0.8399
[toy] step=470  loss(avg10)=0.7490
[toy] step=480  loss(avg10)=0.8121
[toy] step=490  loss(avg10)=0.6990
[toy] step=500  loss(avg10)=0.6808
[toy] step=500  cross_attn=0.100  bounded_baseline=0.000
[toy] step=510  loss(avg10)=0.8265
[toy] step=520  loss(avg10)=0.6068
[toy] step=530  loss(avg10)=0.8481
[toy] step=540  loss(avg10)=0.8408
[toy] step=550  loss(avg10)=0.9589
[toy] step=560  loss(avg10)=0.7951
[toy] step=570  loss(avg10)=0.7815
[toy] step=580  loss(avg10)=0.7831
[toy] step=590  loss(avg10)=0.8544
[toy] step=600  loss(avg10)=0.7379
[toy] step=600  cross_attn=0.100  bounded_baseline=0.000
[toy] step=610  loss(avg10)=0.7162
[toy] step=620  loss(avg10)=0.8345
[toy] step=630  loss(avg10)=0.8247
[toy] step=640  loss(avg10)=0.7333
[toy] step=650  loss(avg10)=0.7384
[toy] step=660  loss(avg10)=0.7339
[toy] step=670  loss(avg10)=0.5544
[toy] step=680  loss(avg10)=1.0815
[toy] step=690  loss(avg10)=0.8034
[toy] step=700  loss(avg10)=0.7190
[toy] step=700  cross_attn=0.100  bounded_baseline=0.000
[toy] step=710  loss(avg10)=0.7470
[toy] step=720  loss(avg10)=0.8156
[toy] step=730  loss(avg10)=0.8470
[toy] step=740  loss(avg10)=0.7535
[toy] step=750  loss(avg10)=0.8082
[toy] step=760  loss(avg10)=0.7145
[toy] step=770  loss(avg10)=0.7492
[toy] step=780  loss(avg10)=0.7590
[toy] step=790  loss(avg10)=0.8742
[toy] step=800  loss(avg10)=0.7679
[toy] step=800  cross_attn=0.250  bounded_baseline=0.000
[toy] step=810  loss(avg10)=0.7773
[toy] step=820  loss(avg10)=0.6846
[toy] step=830  loss(avg10)=0.8028
[toy] step=840  loss(avg10)=0.7385
[toy] step=850  loss(avg10)=0.7060
[toy] step=860  loss(avg10)=0.7022
[toy] step=870  loss(avg10)=0.8785
[toy] step=880  loss(avg10)=0.7811
[toy] step=890  loss(avg10)=0.9891
[toy] step=900  loss(avg10)=0.7719
[toy] step=900  cross_attn=0.250  bounded_baseline=0.000
[toy] step=910  loss(avg10)=0.7820
[toy] step=920  loss(avg10)=0.7409
[toy] step=930  loss(avg10)=0.7657
[toy] step=940  loss(avg10)=0.7893
[toy] step=950  loss(avg10)=0.7770
[toy] step=960  loss(avg10)=0.7618
[toy] step=970  loss(avg10)=0.7037
[toy] step=980  loss(avg10)=0.7866
