bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
NVIDIA H200, 580.159.03, 143771 MiB, 9.0
[run_on_vast] reusing venv at /workspace/kakeya-r1c/.venv-vast
[run_on_vast] torch + transformers already importable; skipping install
[run_on_vast] torch=2.11.0+cu128 cuda_available=True cuda=12.8
[run_on_vast] device0=NVIDIA H200
[run_on_vast] transformers=4.57.6
[run_on_vast] launching toy: --model google/gemma-3-1b-it --cross-attn-depth 20 --sink 4 --window 64 --num-heads 16 --head-dim 128 --train-steps 6000 --o-proj-init-std 0.01 --lr 3e-4 --n-train 200 --n-eval 50 --eval-every 200 --haystack-min-tokens 256 --haystack-max-tokens 1024 --needle-debug-mode small --output results/research/cross_attn_toy_vast_needle_small_long6000.json
[toy] loading google/gemma-3-1b-it
[toy] device=cuda
[toy] generating 200 train + 50 eval NIAH samples; needle vocab=small (20 distinct answers)
[toy] pre-train eval (full eval set, all 3 baselines)
[toy] pre-train: oracle=1.000  bounded_baseline=0.000  cross_attn=0.000
[toy] training 6000 steps
[toy] step=10  loss(avg10)=5.3807
[toy] step=20  loss(avg10)=1.8887
[toy] step=30  loss(avg10)=1.3943
[toy] step=40  loss(avg10)=1.5280
[toy] step=50  loss(avg10)=1.0570
[toy] step=60  loss(avg10)=1.1494
[toy] step=70  loss(avg10)=0.9311
[toy] step=80  loss(avg10)=0.9474
[toy] step=90  loss(avg10)=0.8734
[toy] step=100  loss(avg10)=0.7625
[toy] step=110  loss(avg10)=1.0170
[toy] step=120  loss(avg10)=0.7499
[toy] step=130  loss(avg10)=0.9081
[toy] step=140  loss(avg10)=0.7694
[toy] step=150  loss(avg10)=0.9319
[toy] step=160  loss(avg10)=0.9060
[toy] step=170  loss(avg10)=0.8007
[toy] step=180  loss(avg10)=0.7871
[toy] step=190  loss(avg10)=0.9668
[toy] step=200  loss(avg10)=0.8495
[toy] step=200  cross_attn=0.250  bounded_baseline=0.000
[toy] step=210  loss(avg10)=0.8081
[toy] step=220  loss(avg10)=0.9436
[toy] step=230  loss(avg10)=0.8107
[toy] step=240  loss(avg10)=0.7797
[toy] step=250  loss(avg10)=0.8317
[toy] step=260  loss(avg10)=0.7626
[toy] step=270  loss(avg10)=0.7620
[toy] step=280  loss(avg10)=0.8805
[toy] step=290  loss(avg10)=0.6830
[toy] step=300  loss(avg10)=0.8524
[toy] step=310  loss(avg10)=0.8760
[toy] step=320  loss(avg10)=0.7763
[toy] step=330  loss(avg10)=0.8175
[toy] step=340  loss(avg10)=0.8266
[toy] step=350  loss(avg10)=0.8755
[toy] step=360  loss(avg10)=0.7476
[toy] step=370  loss(avg10)=0.8114
[toy] step=380  loss(avg10)=0.7678
[toy] step=390  loss(avg10)=0.9024
[toy] step=400  loss(avg10)=0.7916
