bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
NVIDIA H200, 580.159.03, 143771 MiB, 9.0
[run_on_vast] reusing venv at /workspace/kakeya-r1c/.venv-vast
[run_on_vast] torch + transformers already importable; skipping install
[run_on_vast] torch=2.11.0+cu128 cuda_available=True cuda=12.8
[run_on_vast] device0=NVIDIA H200
[run_on_vast] transformers=4.57.6
[run_on_vast] launching toy: --model google/gemma-3-1b-it --cross-attn-depth 20 --sink 4 --window 64 --num-heads 16 --head-dim 128 --train-steps 2000 --o-proj-init-std 0.01 --lr 3e-4 --n-train 200 --n-eval 50 --eval-every 100 --haystack-min-tokens 256 --haystack-max-tokens 1024 --needle-debug-mode small --retrieval-aux-weight 0.1 --output results/research/cross_attn_toy_vast_r1d_small_aux0p1_1780812759.json
[toy] loading google/gemma-3-1b-it
[toy] device=cuda
[toy] generating 200 train + 50 eval NIAH samples; needle vocab=small (20 distinct answers)
[toy] pre-train eval (full eval set, all 3 baselines + localization)
[toy] pre-train: oracle=1.000  bounded_baseline=0.000  cross_attn=0.000  loc_rate=0.099  mass_on_needle=0.0994
[toy] training 2000 steps  retrieval_aux_weight=0.1
[toy] step=10  ce_loss(avg10)=5.6839  aux_loss(avg10)=1.7711
[toy] step=20  ce_loss(avg10)=1.7300  aux_loss(avg10)=1.7164
[toy] step=30  ce_loss(avg10)=1.5432  aux_loss(avg10)=1.6211
[toy] step=40  ce_loss(avg10)=1.3340  aux_loss(avg10)=1.6719
[toy] step=50  ce_loss(avg10)=0.8664  aux_loss(avg10)=1.6570
[toy] step=60  ce_loss(avg10)=1.1131  aux_loss(avg10)=1.3797
[toy] step=70  ce_loss(avg10)=1.1842  aux_loss(avg10)=1.3828
[toy] step=80  ce_loss(avg10)=1.2689  aux_loss(avg10)=1.3828
[toy] step=90  ce_loss(avg10)=1.0269  aux_loss(avg10)=1.3609
[toy] step=100  ce_loss(avg10)=0.8914  aux_loss(avg10)=1.3391
[toy] step=100  cross_attn=0.100  bounded=0.000  loc_rate=0.256  mass=0.2562
[toy] step=110  ce_loss(avg10)=1.0980  aux_loss(avg10)=1.3828
[toy] step=120  ce_loss(avg10)=0.8518  aux_loss(avg10)=1.3828
[toy] step=130  ce_loss(avg10)=0.9365  aux_loss(avg10)=1.3609
[toy] step=140  ce_loss(avg10)=0.8965  aux_loss(avg10)=1.3828
[toy] step=150  ce_loss(avg10)=0.9821  aux_loss(avg10)=1.3828
[toy] step=160  ce_loss(avg10)=0.8137  aux_loss(avg10)=1.3391
[toy] step=170  ce_loss(avg10)=0.7314  aux_loss(avg10)=1.3828
[toy] step=180  ce_loss(avg10)=0.9412  aux_loss(avg10)=1.3828
[toy] step=190  ce_loss(avg10)=1.0700  aux_loss(avg10)=1.3828
[toy] step=200  ce_loss(avg10)=0.9123  aux_loss(avg10)=1.2516
[toy] step=200  cross_attn=0.000  bounded=0.000  loc_rate=0.325  mass=0.3250
[toy] step=210  ce_loss(avg10)=0.8137  aux_loss(avg10)=1.1457
[toy] step=220  ce_loss(avg10)=0.9011  aux_loss(avg10)=1.0570
[toy] step=230  ce_loss(avg10)=0.8479  aux_loss(avg10)=0.9652
[toy] step=240  ce_loss(avg10)=0.7995  aux_loss(avg10)=0.9652
[toy] step=250  ce_loss(avg10)=0.8584  aux_loss(avg10)=0.9652
[toy] step=260  ce_loss(avg10)=0.8196  aux_loss(avg10)=0.9805
[toy] step=270  ce_loss(avg10)=0.7918  aux_loss(avg10)=0.9805
[toy] step=280  ce_loss(avg10)=0.8940  aux_loss(avg10)=0.9805
[toy] step=290  ce_loss(avg10)=0.7040  aux_loss(avg10)=0.9805
[toy] step=300  ce_loss(avg10)=0.8602  aux_loss(avg10)=0.9805
[toy] step=300  cross_attn=0.000  bounded=0.000  loc_rate=0.381  mass=0.3812
[toy] step=310  ce_loss(avg10)=0.8533  aux_loss(avg10)=0.9805
[toy] step=320  ce_loss(avg10)=0.7827  aux_loss(avg10)=0.9652
[toy] step=330  ce_loss(avg10)=0.8730  aux_loss(avg10)=0.9805
[toy] step=340  ce_loss(avg10)=0.8305  aux_loss(avg10)=0.9805
[toy] step=350  ce_loss(avg10)=0.8495  aux_loss(avg10)=0.9652
