bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
NVIDIA H200, 580.159.03, 143771 MiB, 9.0
[run_on_vast] reusing venv at /workspace/kakeya-r1c/.venv-vast
[run_on_vast] torch + transformers already importable; skipping install
[run_on_vast] torch=2.11.0+cu128 cuda_available=True cuda=12.8
[run_on_vast] device0=NVIDIA H200
[run_on_vast] transformers=4.57.6
[run_on_vast] launching toy: --model google/gemma-3-1b-it --sink 4 --window 64 --num-heads 16 --head-dim 128 --train-steps 2000 --o-proj-init-std 0.01 --retrieval-aux-weight 0.1 --needle-debug-mode small --lr 3e-4 --n-train 200 --n-eval 50 --eval-every 100 --haystack-min-tokens 256 --haystack-max-tokens 1024 --cross-attn-depths 8,14,20 --output results/research/cross_attn_toy_vast_r1e_beta_multilayer_aux0p1_1780817369.json
[toy] loading google/gemma-3-1b-it
[toy] device=cuda
[toy] bridges: depths=(8, 14, 20)  per-bridge params=9,437,184  total trainable params=28,311,552  ffn_write=False  block_arch=False
[toy] generating 200 train + 50 eval NIAH samples; needle vocab=small (20 distinct answers)
[toy] pre-train eval (full eval set, all 3 baselines + localization)
[toy] pre-train: oracle=1.000  bounded_baseline=0.000  cross_attn=0.000  loc_rate=0.152  mass_on_needle=0.1513
[toy] training 2000 steps  retrieval_aux_weight=0.1
[toy] step=10  ce_loss(avg10)=4.1484  aux_loss(avg10)=2.4375
[toy] step=20  ce_loss(avg10)=1.2210  aux_loss(avg10)=2.7656
[toy] step=30  ce_loss(avg10)=0.9119  aux_loss(avg10)=2.7656
[toy] step=40  ce_loss(avg10)=1.0890  aux_loss(avg10)=2.7656
[toy] step=50  ce_loss(avg10)=0.8421  aux_loss(avg10)=2.7656
[toy] step=60  ce_loss(avg10)=1.0863  aux_loss(avg10)=2.7656
[toy] step=70  ce_loss(avg10)=0.8269  aux_loss(avg10)=2.6875
[toy] step=80  ce_loss(avg10)=0.8517  aux_loss(avg10)=2.2156
[toy] step=90  ce_loss(avg10)=0.8217  aux_loss(avg10)=2.0781
[toy] step=100  ce_loss(avg10)=0.7715  aux_loss(avg10)=2.0781
[toy] step=100  cross_attn=0.100  bounded=0.000  loc_rate=0.125  mass=0.1250
[toy] step=110  ce_loss(avg10)=0.8907  aux_loss(avg10)=2.0781
[toy] step=120  ce_loss(avg10)=0.7579  aux_loss(avg10)=2.0781
[toy] step=130  ce_loss(avg10)=0.8158  aux_loss(avg10)=2.0781
[toy] step=140  ce_loss(avg10)=0.8121  aux_loss(avg10)=2.0781
[toy] step=150  ce_loss(avg10)=0.8604  aux_loss(avg10)=2.0781
[toy] step=160  ce_loss(avg10)=0.7927  aux_loss(avg10)=2.0781
[toy] step=170  ce_loss(avg10)=0.7719  aux_loss(avg10)=2.0781
[toy] step=180  ce_loss(avg10)=0.7929  aux_loss(avg10)=2.0781
[toy] step=190  ce_loss(avg10)=0.8322  aux_loss(avg10)=2.0781
[toy] step=200  ce_loss(avg10)=0.8243  aux_loss(avg10)=2.0781
[toy] step=200  cross_attn=0.250  bounded=0.000  loc_rate=0.125  mass=0.1250
