bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
NVIDIA H200, 580.159.03, 143771 MiB, 9.0
[run_on_vast] reusing venv at /workspace/kakeya-r1c/.venv-vast
[run_on_vast] torch + transformers already importable; skipping install
[run_on_vast] torch=2.11.0+cu128 cuda_available=True cuda=12.8
[run_on_vast] device0=NVIDIA H200
[run_on_vast] transformers=4.57.6
[run_on_vast] launching toy: --model google/gemma-3-1b-it --sink 4 --window 64 --num-heads 16 --head-dim 128 --train-steps 2000 --o-proj-init-std 0.01 --retrieval-aux-weight 0.1 --needle-debug-mode small --lr 3e-4 --n-train 200 --n-eval 50 --eval-every 100 --haystack-min-tokens 256 --haystack-max-tokens 1024 --cross-attn-depth 20 --bridge-use-block-architecture --ffn-expansion 4 --output results/research/cross_attn_toy_vast_r1e_gamma_block_aux0p1_1780817369.json
[toy] loading google/gemma-3-1b-it
[toy] device=cuda
[toy] bridges: depths=(20,)  per-bridge params=20,060,928  total trainable params=20,060,928  ffn_write=False  block_arch=True
[toy] generating 200 train + 50 eval NIAH samples; needle vocab=small (20 distinct answers)
[toy] pre-train eval (full eval set, all 3 baselines + localization)
[toy] pre-train: oracle=1.000  bounded_baseline=0.000  cross_attn=0.000  loc_rate=0.168  mass_on_needle=0.0363
[toy] training 2000 steps  retrieval_aux_weight=0.1
[toy] step=10  ce_loss(avg10)=5.2477  aux_loss(avg10)=1.3469
[toy] step=20  ce_loss(avg10)=1.6836  aux_loss(avg10)=1.1617
[toy] step=30  ce_loss(avg10)=1.5171  aux_loss(avg10)=1.1656
[toy] step=40  ce_loss(avg10)=1.6691  aux_loss(avg10)=1.2031
[toy] step=50  ce_loss(avg10)=1.1382  aux_loss(avg10)=1.1641
[toy] step=60  ce_loss(avg10)=1.3036  aux_loss(avg10)=1.1641
[toy] step=70  ce_loss(avg10)=1.1006  aux_loss(avg10)=1.1586
[toy] step=80  ce_loss(avg10)=1.1595  aux_loss(avg10)=1.1641
[toy] step=90  ce_loss(avg10)=0.8385  aux_loss(avg10)=1.1633
[toy] step=100  ce_loss(avg10)=0.8262  aux_loss(avg10)=1.1633
[toy] step=100  cross_attn=0.150  bounded=0.000  loc_rate=0.312  mass=0.3144
[toy] step=110  ce_loss(avg10)=0.9720  aux_loss(avg10)=1.0832
[toy] step=120  ce_loss(avg10)=0.7720  aux_loss(avg10)=0.9805
[toy] step=130  ce_loss(avg10)=0.9194  aux_loss(avg10)=0.9770
[toy] step=140  ce_loss(avg10)=0.7812  aux_loss(avg10)=0.9781
[toy] step=150  ce_loss(avg10)=0.9639  aux_loss(avg10)=0.9781
[toy] step=160  ce_loss(avg10)=0.8279  aux_loss(avg10)=0.9496
[toy] step=170  ce_loss(avg10)=0.7878  aux_loss(avg10)=0.6992
[toy] step=180  ce_loss(avg10)=0.8164  aux_loss(avg10)=0.6789
[toy] step=190  ce_loss(avg10)=0.9066  aux_loss(avg10)=0.6789
[toy] step=200  ce_loss(avg10)=0.8333  aux_loss(avg10)=0.6871
[toy] step=200  cross_attn=0.250  bounded=0.000  loc_rate=0.503  mass=0.5031
[toy] step=210  ce_loss(avg10)=0.7887  aux_loss(avg10)=0.6797
[toy] step=220  ce_loss(avg10)=0.8791  aux_loss(avg10)=0.6797
[toy] step=230  ce_loss(avg10)=0.8121  aux_loss(avg10)=0.6797
